asset_plant_id,fleet_number,number_plate,fleet_description,owner_id,chassis_number,year_of_manufacture,colour,current_smr_index,engine_number,engine_capacity_cc,current_site_id,current_contract_id,ledger_code,tank_capacity_litres,capacity_tons,capacity_m3_loose,capacity_m3_tight,maximum_consumption,minimum_consumption,maximum_smr_on_full_tank,request_weekly_mileage,sent,current_location,plant_subcategory_id,plant_category_id,make_id,model_id,current_operator_id,track_consumption,track_smr_reading,driver_or_operator,horse_or_trailer,smr_reader_type,fuel_type,is_prime_mover,created_by
4,AP01,,Asphalt Plant - 70 ton/hr,1,NULL,NULL,,1,,NULL,0,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
5,AP02,,Beltpro Beltweigher Complete system,1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
6,AP11,,Trailer-1 : Cold Feeds,1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
7,AP12,,Trailer-2 : Drum Mixer,1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
8,AP13,,Trailer 3 : Bag House and Cyclone,1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
9,AP14,,Trailer-5 : HFO Tank and Genset,1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
10,AP15,,Trailer-6 : Single Axle Trailer (Conveyors),1,NULL,NULL,,1,,NULL,NULL,NULL,25056,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,1,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
12,AS03,ABO7478,NULL,1,NULL,NULL,NULL,1,5VZ13322864,3400,NULL,NULL,NULL,87,NULL,15,12,9,6,1000,1,0,Harare,NULL,2,1,NULL,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
13,AS06,ADY7434,NULL,1,NULL,NULL,NULL,1,4JH1299183,3000,NULL,NULL,NULL,80,NULL,15,12,12,10,1000,1,0,Harare,NULL,2,2,NULL,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
14,AS07,AEB 2471,SUV Toyota Landcruiser (Maroon),1,JTEHC09J507022570,2006,Maroon,1,IHD-0313637,4200cc,17,103,NULL,137,NULL,15,12,9,7,1000,1,1,Harare,NULL,2,1,1,1405,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
15,AS08,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,15,12,1000,0,0,Harare,NULL,2,NULL,NULL,NULL,TRUE,FALSE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
16,AS10,,LDV SC Mahindra,1,NULL,NULL,White,1,,NULL,1,121,NULL,70,NULL,15,12,14,11,1000,0,0,Harare,NULL,2,3,2,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
17,AS12,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,11,8,1000,1,0,Harare,NULL,2,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
18,AS13,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,11,8,1000,1,0,Harare,NULL,2,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
19,AS14,AEF4915,SUV Toyota Landcruiser,1,JTMHV05J604053168,2011,Grey,1,IVD0111085,4500cc,1,121,NULL,93,NULL,15,12,5,4,1000,1,1,Harare,NULL,2,1,1,790,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
20,AS16,ABM7622,Light Utility Vehicle - Double Cab,1,NULL,NULL,NULL,1,Wl393406,2500,NULL,NULL,NULL,65,NULL,15,12,12,10,1000,1,0,Harare,NULL,2,4,3,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
21,AS17,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,11,8,1000,1,0,Harare,NULL,2,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
