asset_plant_service_reading_id,asset_plant_id,next_service_smr_reading,estimated_units_per_day,estimated_next_service_date,latest_smr_readings,service_interval,last_service_date,latest_smr_date,last_service_smr,service_unit,created_by,created_date,last_modified_by,last_modified_date
1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
3,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
4,7,NULL,NULL,NULL,154070,NULL,NULL,24/4/2025,NULL,HOURS,MIGRATION,,,
5,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
6,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
7,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
8,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
9,13,440000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
10,14,455000,49,19/5/2025,456096,10000,2/10/2024,19/5/2025,445000,KILOMETER,MIGRATION,,,
11,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
12,16,222183,1,31/7/2633,22,10000,17/5/2021,28/4/2025,212183,KILOMETER,MIGRATION,,,
13,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
14,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
15,19,203000,34,10/6/2025,202241,3000,1/4/2025,19/5/2025,200000,KILOMETER,MIGRATION,,,
16,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
17,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
18,22,550000,NULL,NULL,NULL,10000,25/4/2023,NULL,540000,KILOMETER,MIGRATION,,,
19,23,240000,28,3/10/2025,236170,10000,29/10/2023,19/5/2025,230000,KILOMETER,MIGRATION,,,
20,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
21,25,330000,146,8/7/2025,322680,10000,15/4/2025,19/5/2025,320000,KILOMETER,MIGRATION,,,
22,26,302000,87,15/8/2025,294348,10000,6/5/2025,19/5/2025,292000,KILOMETER,MIGRATION,,,
23,27,270000,103,23/7/2025,263141,10000,14/4/2025,17/5/2025,260000,KILOMETER,MIGRATION,,,
24,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
25,30,110000,53,23/6/2025,107983,10000,15/11/2024,16/5/2025,100000,KILOMETER,MIGRATION,,,
26,31,390000,500,19/5/2025,390076,10000,20/3/2025,19/5/2025,380000,KILOMETER,MIGRATION,,,
27,32,304000,109,12/5/2025,307408,10000,25/1/2025,12/5/2025,294000,KILOMETER,MIGRATION,,,
28,33,310000,102,13/8/2025,300995,10000,6/5/2025,17/5/2025,300000,KILOMETER,MIGRATION,,,
29,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
30,37,122000,21,11/9/2025,119513,10000,28/4/2024,16/5/2025,112000,KILOMETER,MIGRATION,,,
31,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
32,39,510000,74,25/9/2025,500563,10000,5/5/2025,20/5/2025,500000,KILOMETER,MIGRATION,,,
33,40,NULL,NULL,NULL,161522,NULL,NULL,15/4/2025,NULL,KILOMETER,MIGRATION,,,
34,41,343000,NULL,NULL,338606,10000,26/2/2024,3/4/2024,333000,KILOMETER,MIGRATION,,,
35,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
36,43,310000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
37,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
38,47,535000,93,12/8/2025,527108,10000,5/5/2025,19/5/2025,525000,KILOMETER,MIGRATION,,,
39,48,957000,76,17/7/2025,952314,10000,24/2/2025,16/5/2025,947000,KILOMETER,MIGRATION,,,
40,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
41,50,125000,52,24/11/2025,115007,10000,14/5/2025,16/5/2025,115000,KILOMETER,MIGRATION,,,
42,51,326000,108,22/5/2025,324002,10000,3/3/2025,3/5/2025,316000,KILOMETER,MIGRATION,,,
43,52,380000,113,19/5/2025,384480,10000,25/2/2025,19/5/2025,370000,KILOMETER,MIGRATION,,,
44,53,420000,59,5/6/2025,418814,10000,28/11/2024,16/5/2025,410000,KILOMETER,MIGRATION,,,
45,54,280000,109,23/5/2025,279259,10000,28/2/2025,16/5/2025,270000,KILOMETER,MIGRATION,,,
46,55,243000,245,31/5/2025,238994,10000,16/4/2025,15/5/2025,233000,KILOMETER,MIGRATION,,,
47,56,270000,500,19/5/2025,268352,10000,5/3/2025,16/5/2025,260000,KILOMETER,MIGRATION,,,
48,57,290000,64,27/10/2025,279695,10000,14/5/2025,19/5/2025,280000,KILOMETER,MIGRATION,,,
49,58,80000,24,30/7/2025,77953,5000,4/4/2025,6/5/2025,75000,KILOMETER,MIGRATION,,,
50,59,255000,119,23/6/2025,250500,10000,11/4/2025,16/5/2025,245000,KILOMETER,MIGRATION,,,
51,60,303000,100,8/8/2025,294620,10000,6/5/2025,16/5/2025,293000,KILOMETER,MIGRATION,,,
52,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
53,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
54,63,230000,91,6/6/2025,228350,10000,28/2/2025,19/5/2025,220000,KILOMETER,MIGRATION,,,
55,64,170000,24,18/7/2025,168479,10000,15/5/2023,16/5/2025,160000,KILOMETER,MIGRATION,,,
56,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
57,66,85000,14,10/4/2026,80388,10000,9/4/2024,16/5/2025,75000,KILOMETER,MIGRATION,,,
58,67,330000,80,12/6/2025,327811,10000,7/2/2025,16/5/2025,320000,KILOMETER,MIGRATION,,,
59,68,213000,109,18/5/2025,212781,10000,27/1/2025,16/5/2025,203000,KILOMETER,MIGRATION,,,
60,69,180000,87,31/7/2025,173356,10000,9/4/2025,16/5/2025,170000,KILOMETER,MIGRATION,,,
61,70,436000,500,31/5/2025,429796,10000,22/3/2025,19/5/2025,426000,KILOMETER,MIGRATION,,,
62,71,630000,130,6/2/2025,629287,10000,25/11/2024,1/2/2025,620000,KILOMETER,MIGRATION,,,
63,72,545000,140,5/6/2025,541762,10000,6/3/2025,13/5/2025,535000,KILOMETER,MIGRATION,,,
64,73,250,4,5/6/2025,1,250,NULL,8/4/2025,NULL,HOURS,MIGRATION,,,
65,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
66,75,8250,2,27/10/2025,7997,250,23/4/2025,20/5/2025,8000,HOURS,MIGRATION,,,
67,76,7000,1,1/7/2025,6949,250,19/9/2024,19/5/2025,6750,HOURS,MIGRATION,,,
68,77,6250,2,11/7/2025,6122,250,18/2/2025,19/5/2025,6000,HOURS,MIGRATION,,,
69,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
70,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
71,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
72,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
73,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
74,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
75,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
76,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
77,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
78,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
79,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
80,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
81,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
82,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
83,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
84,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
85,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
86,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
87,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
88,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
89,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
90,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
91,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
92,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
93,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
94,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
95,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
96,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
97,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
98,109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
99,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
100,115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
101,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
102,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
103,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
104,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
105,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
106,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
107,122,NULL,NULL,NULL,7862,NULL,NULL,19/5/2025,NULL,HOURS,MIGRATION,,,
108,123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
109,124,8500,2,29/8/2025,8258,250,16/5/2025,20/5/2025,8250,HOURS,MIGRATION,,,
110,125,9250,4,26/6/2025,9121,250,1/5/2025,20/5/2025,9000,HOURS,MIGRATION,,,
111,126,6750,3,4/6/2025,6704,250,14/4/2025,20/5/2025,6500,HOURS,MIGRATION,,,
112,127,3250,NULL,NULL,NULL,250,25/5/2021,NULL,3000,HOURS,MIGRATION,,,
113,128,7108,1,7/6/2026,6722,250,10/3/2022,17/5/2025,6858,HOURS,MIGRATION,,,
114,129,250,NULL,NULL,NULL,250,NULL,NULL,NULL,HOURS,MIGRATION,,,
115,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
116,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
117,132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
118,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
119,134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
120,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
121,136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAY,MIGRATION,,,
122,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
123,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAY,MIGRATION,,,
124,139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAY,MIGRATION,,,
125,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
126,141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
127,142,7250,1,24/11/2025,7062,250,29/8/2024,20/5/2025,7000,HOURS,MIGRATION,,,
128,143,NULL,NULL,NULL,NULL,NULL,NULL,19/2/2025,NULL,HOURS,MIGRATION,,,
129,144,300,NULL,NULL,NULL,250,9/12/2023,NULL,50,HOURS,MIGRATION,,,
130,145,10000,4,15/6/2025,9893,250,25/4/2025,20/5/2025,9750,HOURS,MIGRATION,,,
131,146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
132,147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
133,148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
134,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
135,153,750,4,24/5/2025,719,250,16/4/2025,16/5/2025,500,HOURS,MIGRATION,,,
136,154,10750,2,28/6/2025,10677,250,23/10/2024,19/5/2025,10500,HOURS,MIGRATION,,,
137,155,8750,2,15/6/2040,160,250,26/11/2024,19/5/2025,8500,HOURS,MIGRATION,,,
138,156,14000,4,27/6/2025,13818,250,15/4/2025,9/5/2025,13750,HOURS,MIGRATION,,,
139,157,18000,2,13/6/2025,17950,250,17/2/2025,19/5/2025,17750,HOURS,MIGRATION,,,
140,158,10250,2,2/8/2025,10127,250,7/2/2025,16/5/2025,10000,HOURS,MIGRATION,,,
141,159,12500,3,4/6/2025,12457,250,4/12/2024,19/5/2025,12250,HOURS,MIGRATION,,,
142,160,10000,3,6/8/2025,9787,250,19/5/2025,20/5/2025,9750,HOURS,MIGRATION,,,
143,161,9500,4,3/7/2025,9326,250,7/5/2025,20/5/2025,9250,HOURS,MIGRATION,,,
144,162,7750,2,27/7/2025,7578,250,10/5/2025,19/5/2025,7500,HOURS,MIGRATION,,,
145,163,5750,1,19/5/2025,5769,250,19/6/2024,19/5/2025,5500,HOURS,MIGRATION,,,
146,166,9000,1,7/8/2025,8766,250,18/1/2024,16/12/2024,8750,HOURS,MIGRATION,,,
147,167,6750,1,5/10/2025,6582,250,24/7/2024,19/5/2025,6500,HOURS,MIGRATION,,,
148,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
149,169,NULL,NULL,NULL,0,NULL,NULL,26/4/2025,NULL,HOURS,MIGRATION,,,
