contract_division_id,contract_division_number,company_id,contract_division_name,build_smart_reference,shift_start,hr_hours_monday_thursday,hr_hours_friday,add_hours_monday_friday,add_hours_weekend,contract_division_type,completed,created_by
19,C0160,1,Chivi -Mandamabwe-Tokwe Road Rehabilitation,C160,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
20,C0161,1,Marimba Park Regularisation Roadworks,C161,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
21,C0162,1,Marondera -Musami Road Upgrade,C162,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
22,C0163,1,Skyline-Mubaira Road Rehabilitation,C163,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
23,C0164,1,Chimanimani Permanent Works,C164,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
24,C0165,1,Service Station and Slip Lane Construction,C165,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
25,C0166,1,Harare-Masvingo -Beitbridge Road Lot 5,C166,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
26,C0167,1,Makuti Crushing,C167,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
27,C0168,1,Dharwizi Earthworks /Civils,C168,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
28,C0169,1,Selborne Park,C169,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
29,C0170,1,Isinga Infrastructure Development,C170,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
30,C0171,1,GDI Buildings Refurbishment,C171,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
31,C0172,1,Masvingo- Beitbridge Road Rehabilitation,C172,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
32,C0173,1,Panhohwe Hills Estate Infrastucture Development,C173,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
33,C0174,1,Hopelyn Township Surfacing Works,C174,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
34,C0175,1,Haydon Infrastructure Development,C175,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
35,C0176,1,Willisgrove Surfacing Works,C176,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
36,C0177,1,Harare -Masvingo-Beitbridge Road Phase 3,C177,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
37,C0178,1,Nyamandhlovu Access Road Bulawato,C178,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
38,C0179,1,Staff Village Civil Works-Beitbridge,C179,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
39,C0180,1,Musavezi Bridge Repairs,C180,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
40,C0181,1,Nhekairo - Chigondo Road Surfacing Works,C181,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
41,C0182,1,"Seke Road Phase 1, Harare",C182,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
42,C0183,1,Nyamakata Bridge,C183,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
43,C0184,1,Rehabilitation of Birchenough-Chipinge -Mt Selinda,C184,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
44,C0185,1,FSG Bindura,C185,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
45,C0186,1,Prince Edward - Connaught Road Overlay,C186,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
46,C0187,1,Harare-Masvingo-Beitbridge Road Rehab Phase 3,C187,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
47,C0188,1,Ruenya River Bridge Repairs,C188,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
48,C0189,1,BCC Reseal Works City Wide,C189,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
49,C0190,1,Nuanetsi Dam Wall Repairs,C190,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
50,C0191,1,Kwekwe Road Rehab,C191,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
51,C0192,1,Asphalt Overlay: Buffalo Range Airport,C192,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
52,C0193,1,Reseal Works City Wide Lot 2,C193,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
53,C0194,1,Charing Cross Dualization,C194,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
54,C0195,1,Ngundu - Tanganda Road Rehabilitation,C195,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
55,C0196,1,Seke Road Reconstruction And Overlay Works,C196,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
56,C0197,1,Harare to Bindura (km 12 to 87),C197,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
57,C0198,1,Twin River Bridge and Mutyira Causeway,C198,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
58,C0199,1,"Rehab of Delport Road, Harare",C199,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
59,C0200,1,BCC Asphalt Overlays Selected Roads,C200,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
60,C0201,1,Pomona Energy from Waste Project,C201,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
61,C0202,1,"Harare Beitbridge Phase 4 Lot 23 km 237,0 to 281,2",C202,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
62,C0203,1,Peterhouse Hockey Pitch,C203,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
63,C0204,1,"Khami Road Rehabilitation, Bulawayo",C204,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
