fuel_pump_id;fuel_pump_code;description;current_storage_id;is_active;valid_from;created_by
1;20170400081;FT0002 - Petrol Msasa (T1);1;TRUE;2021-01-01;SYSTEM
2;20170400081;FT0001 - Diesel Msasa (T2);2;TRUE;2021-01-01;SYSTEM
3;980132230;FT0003 - Diesel MOBE MT1;33;TRUE;2021-01-01;SYSTEM
4;124212215;FT0004 - Diesel Parliament MT2;34;TRUE;2021-01-01;SYSTEM
5;124212215;FT0005 - Diesel Tsomboli MT3;43;FALSE;2021-01-01;SYSTEM
6;1417553;FT0006 - Diesel Parliament MT4;44;TRUE;2021-01-01;SYSTEM
7;0005633000-3;FT0007 - Diesel Luna;15;FALSE;2021-01-01;SYSTEM
8;201939;FT0007 - Petrol Luna;29;TRUE;2021-01-01;SYSTEM
9;1517938;FB0013 - Fuel Bowser LB08;59;TRUE;2021-01-01;SYSTEM
10;1201941;null;23;TRUE;2021-01-01;SYSTEM
11;1418187;FT0010 - Diesel Stonehill SHT1;45;FALSE;2021-01-01;SYSTEM
12;181248;FT0011 - Diesel Stonehill SHT2;46;FALSE;2021-01-01;SYSTEM
13;1610690;FT0012 - Diesel Asphalt Plant AP14;20;TRUE;2021-01-01;SYSTEM
14;1438919;FT0013 - Diesel Asphalt Plant AP22;39;FALSE;2021-01-01;SYSTEM
15;1417553;FT0014 - Diesel Asphalt Plant AP23;40;TRUE;2021-01-01;SYSTEM
16;Unknown;FT0015 - Diesel HAP 401;21;TRUE;2021-01-01;SYSTEM
17;2.02E+11;FB0001 - Fuel Bowser FB01;10;TRUE;2021-01-01;SYSTEM
18;2.02E+11;null;11;TRUE;2021-01-01;SYSTEM
19;76-8886;FB0003 - Fuel Bowser FB03;12;TRUE;2021-01-01;SYSTEM
20;06790315A;FB0004 - Fuel Bowser FB04;3;FALSE;2021-01-01;SYSTEM
21;NOT APP;null;4;TRUE;2021-01-01;SYSTEM
22;null;null;13;FALSE;2021-01-01;SYSTEM
23;null;null;7;TRUE;2021-01-01;SYSTEM
24;null;FB0008 - Fuel Bowser LB04-Light;9;TRUE;2021-01-01;SYSTEM
25;null;FB0008 - Fuel Bowser LB04-Heavy;9;TRUE;2021-01-01;SYSTEM
26;ss;FB0009 - Fuel Bowser LB05-Light;8;TRUE;2021-01-01;SYSTEM
27;TBA;FB0009 - Fuel Bowser LB05-Heavy;8;TRUE;2021-01-01;SYSTEM
28;null;FB0010 - Fuel Bowser LB06;41;TRUE;2021-01-01;SYSTEM
29;null;FB0011 - Fuel Bowser LB07;42;TRUE;2021-01-01;SYSTEM
30;null;FB0012 - Fuel Bowser LW04;24;TRUE;2021-01-01;SYSTEM
31;null;null;48;TRUE;2021-01-01;SYSTEM
32;null;FC0002 - Trek 60514;49;TRUE;2021-03-05;SYSTEM
33;TEST;FC0003 - Total 65812;47;TRUE;2021-01-01;SYSTEM
34;null;MISCELLANEOUS;30;TRUE;2021-01-01;SYSTEM
38;NULL;TDB05 Tayanna Bowser;52;TRUE;2021-01-01;SYSTEM
39;NULL;TXHDB03 Hired Trailer;56;TRUE;2021-01-01;SYSTEM
40;null;TDB03 0Manica Diesel Bowser;57;TRUE;2021-01-01;SYSTEM
41;null;TDT01 Mobile Pump;54;TRUE;2021-01-01;SYSTEM
42;null;TXHDT03 Hired Trailer;55;TRUE;2021-01-01;SYSTEM
43;null;TDT02 Mobile Trailer;58;TRUE;2021-01-01;SYSTEM
44;null;TDB06 - Fura Bowser;60;TRUE;2021-01-01;SYSTEM
45;null;TDT03;61;TRUE;2021-01-01;SYSTEM
46;null;Freda Rebecca - Diesel Pump;66;TRUE;2021-01-01;SYSTEM
