fuel_transaction_header_id;company_id;supplier_id;transaction_type_id;fuel_type;order_number;delivery_note;grv_number;invoice_number;price_per_litre;note;registration_number;attendee_id;operator_id;created_by;is_fill_up
1;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;true
2;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;true
3;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;true
4;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;true
5;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;false
6;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;true
7;1;null;1;PETROL;null;null;null;null;null;null;null;1;2;SYSTEM;false
8;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;false
9;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;false
10;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;false
11;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;false
12;1;null;1;PETROL;null;null;null;null;null;null;null;1;3;SYSTEM;true
