fuel_transaction_line_id;fuel_transaction_header_id;asset_plant_id;contract_division_id;issuance_type_id;pump_id;storage_unit_id;litres;meter_reading_start;meter_reading_end;multiplier;created_by
1;1;3;1;1;1;5;0;40;40.00;-1;SYSTEM
2;2;3;1;1;1;5;35;40.00;75.00;-1;SYSTEM
3;3;3;1;1;1;5;20;75.00;95.00;-1;SYSTEM
4;4;3;1;1;1;5;58;95.00;153.00;-1;SYSTEM
5;5;3;1;1;1;5;10;150.00;160.00;-1;SYSTEM
6;6;3;1;1;1;5;45;160.00;205.00;-1;SYSTEM
7;7;3;1;1;1;5;35;240.00;275.00;-1;SYSTEM
8;8;3;1;1;1;5;45;275.00;320.00;-1;SYSTEM
9;9;3;1;1;1;5;35;320.00;355.00;-1;SYSTEM
10;10;3;1;1;1;5;38;355.00;393.00;-1;SYSTEM
11;11;3;1;1;1;5;45;393.00;438.00;-1;SYSTEM
12;12;3;1;1;1;5;40;438.00;478.00;-1;SYSTEM
