make_id,make,created_by
1,Toyota,MIGRATION
2,Isuzu,MIGRATION
3,Mahindra,MIGRATION
4,Mazda,MIGRATION
5,Mercedes Benz,MIGRATION
6,Honda,MIGRATION
7,Lexus,MIGRATION
8,VW,MIGRATION
9,Bobcat,MIGRATION
10,Hyundai,MIGRATION
11,Stihl,MIGRATION
12,Husqvarna,MIGRATION
13,Arden Air,MIGRATION
14,McCloskey,MIGRATION
15,(Not Specified),MIGRATION
16,Tuner Morris,MIGRATION
17,Turner Morris,MIGRATION
18,Caterpillar,MIGRATION
19,Shantui,MIGRATION
20,JCB,MIGRATION
21,PUMPTEC,MIGRATION
22,Volvo,MIGRATION
23,Stamford,MIGRATION
24,FG Wilson,MIGRATION
25,AJ Power,MIGRATION
26,Bomag,MIGRATION
27,Subaru,MIGRATION
28,MAN,MIGRATION
29,Sinotruk,MIGRATION
30,Sitrak ,MIGRATION
31,Howo,MIGRATION
32,Renault,MIGRATION
33,Freightliner,MIGRATION
34,Hino,MIGRATION
35,Scania,MIGRATION
36,TATA,MIGRATION
37,Powerstar,MIGRATION
38,DAF,MIGRATION
39,Foton ,MIGRATION
40,INTERNATIONAL,MIGRATION
41,Bell,MIGRATION
42,FAW,MIGRATION
43,M/Benz,MIGRATION
44,Everstar,MIGRATION
45,Power,MIGRATION
46,Yamaha,MIGRATION
47,Sang ,MIGRATION
48,Wacker Nelson,MIGRATION
49,Vogele,MIGRATION
50,Apollo,MIGRATION
51,Gilbarco,MIGRATION
52,Tokheim,MIGRATION
