model_id,model,created_by
1,Toyota,MIGRATION
2,Mahindra,MIGRATION
3,B2500 SDX,MIGRATION
4,C200 Kompressor,MIGRATION
5,Honda,MIGRATION
6,Hilux Revo,MIGRATION
7,Toyota ,MIGRATION
8,Hiace,MIGRATION
9,Corolla,MIGRATION
10,Isuzu,MIGRATION
11,Lexus,MIGRATION
12,VW,MIGRATION
13,FIT,MIGRATION
14,Hyundai,MIGRATION
15,Bobcat,MIGRATION
16,Stihl,MIGRATION
17,Husqvarna,MIGRATION
18,Concrete Cutter,MIGRATION
19,Arden Air,MIGRATION
20,McCloskey,MIGRATION
21,Tuner Morris,MIGRATION
22,Turner Morris,MIGRATION
23,D6T,MIGRATION
24,SD22,MIGRATION
25,Shantui,MIGRATION
26,Caterpillar,MIGRATION
27,JCB,MIGRATION
28,PUMPTEC,MIGRATION
29,Volvo,MIGRATION
30,Bomag,MIGRATION
31,Subaru,MIGRATION
32,MAN,MIGRATION
33,Sinotruck,MIGRATION
34,FH440,MIGRATION
35,Howo,MIGRATION
36,Profia,MIGRATION
37,Scania,MIGRATION
38,Tata,MIGRATION
39,Power Star,MIGRATION
40,M/Benz,MIGRATION
41,FAW,MIGRATION
42,TGA,MIGRATION
43,1827 HIAB,MIGRATION
44,Toyoace,MIGRATION
45,Hino,MIGRATION
46,DAF,MIGRATION
47,Foton,MIGRATION
48,2628,MIGRATION
49,Howo Tipper 6x4,MIGRATION
50,4035,MIGRATION
51,Everstar,MIGRATION
52,Water Bowser/Truck,MIGRATION
53,YBR125G,MIGRATION
54,John Deere,MIGRATION
55,SLS220C,MIGRATION
56,772D,MIGRATION
57,Bell,MIGRATION
58,Roller Pneumatic CAT PF300C - 21ton (ballast),MIGRATION
59,Wacker Nelson,MIGRATION
60,Vogele,MIGRATION
61,Honda ,MIGRATION
62,Concrete Batch Plant - Metate 90 m3/hr,MIGRATION
63,ZOOMLION,MIGRATION
64,Cutting Ploter with Vkit KDL0874,MIGRATION
65,Liebherr,MIGRATION
66,Hitachi,MIGRATION
67,Gilbarco,MIGRATION
68,Tokheim,MIGRATION
69,Asphalt Plant - 70 ton/hr,MIGRATION
