plant_category_id,plant_category_code,plant_category_description,created_by
1,AP,Asphalt Plant,MIGRATION
2,AS,Light Motor Vehicle,MIGRATION
3,BA,Batching Plant,MIGRATION
4,BC,Skid Steer,MIGRATION
5,BD,Bitumen Distributor,MIGRATION
6,CN,Crane,MIGRATION
7,CP,Compressors,MIGRATION
8,CR,Crusher,MIGRATION
9,CS,Chip Spreader,MIGRATION
10,D,Bulldozer,MIGRATION
11,EX,Hydraulic Excavator,MIGRATION
12,FK,Forklift,MIGRATION
13,FL,Lighting Plant,MIGRATION
14,GEN,Generator,MIGRATION
15,LA,Lorry Articulated,MIGRATION
16,LC,Concrete Mixer,MIGRATION
17,LD,Dump Truck,MIGRATION
18,LF,Lorry Flat Bed,MIGRATION
19,LS,Bitumen Distributor,MIGRATION
20,LT,Lorry Tipper,MIGRATION
21,LW,Water Bowser,MIGRATION
22,MB,Motor Bike,MIGRATION
23,MG,Motor Grader,MIGRATION
24,O,Other ,MIGRATION
25,PV,Paver,MIGRATION
26,PW,Pressure Washer,MIGRATION
27,RB,Tractor Broom,MIGRATION
28,RC,Recycler,MIGRATION
29,RM,Road Marking Machine,MIGRATION
30,RP,Pneumatic Roller,MIGRATION
31,RV,Ride On Vibratory Roller,MIGRATION
32,SV,Cement Spreader Truck,MIGRATION
33,T,Tractor,MIGRATION
34,TLB,Tractor Loader Backhoe,MIGRATION
35,TR,Trailer,MIGRATION
36,VS,Service Van,MIGRATION
37,WL,Wheel Loader,MIGRATION
38,ZZ,Third Party Plant,MIGRATION
