plant_subcategory_id,plant_subcategory_code,plant_subcategory_description,created_by
1,"AFW01 "," Aircraft Fixed-wing Light",MIGRATION
2,"ASA01 "," Light Vehicle - Motorcycle",MIGRATION
3,"ASB01 "," Light Vehicle - Sedan",MIGRATION
4,"ASC01 "," Sports Utility Vehicle < 2,5 Ltr",MIGRATION
5,"ASC02 "," Sports Utility Vehicle > 2,5 Ltr",MIGRATION
6,"ASD01 "," Light Utility Vehicle - Double Cab",MIGRATION
7,"ASK01 "," Light Utility Vehicle - King Cab",MIGRATION
8,"ASS01 "," Light Utility Vehicle - Single Cab",MIGRATION
9,"ASV01 "," Light Utility Vehicle - Bus or Van",MIGRATION
10,"BHS01 "," Bitumen Hand Spray Trolley",MIGRATION
11,"BKM01 "," Block Making Machine",MIGRATION
12,"BLF01 "," Leaf Blowers",MIGRATION
13,"CEP01 "," Mobile Concrete Batch Plant",MIGRATION
14,"CEP02 "," Concrete Mixer Truck",MIGRATION
15,"CEP03 "," Concrete Mixer",MIGRATION
16,"CEP04 "," Concrete Saw Cutter",MIGRATION
17,"CEP05 "," Concrete Poker Vibrator - 50mm",MIGRATION
18,"CEP06 "," Concrete Power Trowel",MIGRATION
19,"CHS01 "," Chainsaw",MIGRATION
20,"CMP01 "," Air Compressor - Small , up to 200 cfm",MIGRATION
21,"CMP02 "," Air Compressor - Medium , 200 to 700 cfm",MIGRATION
22,CNT0,CNT0,MIGRATION
23,"CNT01 "," Container Shipping 20 ft",MIGRATION
24,"CNT02 "," Container Shipping 40 ft",MIGRATION
25,"CNT03 "," Container Prefab Unit",MIGRATION
26,"CRN02 "," Mobile Crane 20 to 80 ton",MIGRATION
27,"CRS01 "," Mobile Jaw Crusher",MIGRATION
28,"CRS02 "," Mobile Cone Crusher",MIGRATION
29,"CRS03 "," Mobile Screen",MIGRATION
30,"CRS04 "," Mobile VSI Crusher",MIGRATION
31,"CRS05 "," Wheel Stacker ( 32 x 50 inch )",MIGRATION
32,"CSP01 "," Chipspreader Self Propelled",MIGRATION
33,"CSP02 "," Chipspreader Tailgate",MIGRATION
34,"DRG01 "," Crawler Drill Rig - 70 to 120  mm bore",MIGRATION
35,"DZR01 "," Dozer D6 ( 14t , 100kw )",MIGRATION
36,"DZR04 "," Dozer D7 ( 25t , 200kw )",MIGRATION
37,"EAG01 "," Earth Auger - Hand Held",MIGRATION
38,"EXC01 "," Excavator (Tracked) - 6 ton",MIGRATION
39,"EXC03 "," Excavator (Tracked) - 20 ton",MIGRATION
40,"EXC04 "," Excavator (Tracked) - 30 ton",MIGRATION
41,"EXC05 "," Excavator (Tracked) - 40 ton",MIGRATION
42,"FBR01 "," Fuel Bowser Mobile Tank - 1 000 Ltr Tank",MIGRATION
43,"FBR02 "," Fuel Bowser Light Truck - 2 000 Ltr Tank",MIGRATION
44,"FBR03 "," Fuel Bowser Medium Truck - 10 000 Ltr Tank",MIGRATION
45,"FBR04 "," Fuel Bowser Tanker Trailer - 45 000 Ltr Tank",MIGRATION
46,"FLP01 "," Fuel Storage Tank (above ground 50kl)",MIGRATION
47,"FLP02 "," Forecourt Fuel Pump",MIGRATION
48,"FLP03 "," Fuel Pump - >1,0 kl/min",MIGRATION
49,"GEN01 "," Generator - < 10 kVa",MIGRATION
50,"GEN02 "," Generator - 10 to 30 kVa",MIGRATION
51,"GEN03 "," Generator - 30 to 100 kVa",MIGRATION
52,"GEN04 "," Generator - > 100 kVa",MIGRATION
53,"GLP01 "," Lighting Plant  [ LTP01 ]",MIGRATION
54,"GTM01 "," Grass Trimmer",MIGRATION
55,HAP01," Asphalt Plant - 70 ton/hr",MIGRATION
56,"HAP02 "," Beltweigher",MIGRATION
57,"HAP04 "," Bitumen Decanter",MIGRATION
58,"HAP05 "," Bitumen Pump",MIGRATION
59,HAP06,HAP06,MIGRATION
60,"HAP06 b "," Mobile AP , Drum Mixer",MIGRATION
61,"HAP07 "," Bitumen Storage Tank",MIGRATION
62,"HAP08 "," 140 ton/hr",MIGRATION
63,"HAP09 "," Asphalt Plant Mobile Trailer",MIGRATION
64,"HHB02 "," Hydraulic Hammer - Medium Class",MIGRATION
65,"JJK01 "," Tamper - 70 kg",MIGRATION
66,"JKH01 "," Jack Hammer - Electrical",MIGRATION
67,"LAT01 "," Mech Horse ( < 400 hp )",MIGRATION
68,"LAT02 "," Mech Horse ( > 400 hp )",MIGRATION
69,"LAT03 "," Mech Horse - Lowbed",MIGRATION
70,"LBS02 "," Bitumen Distributor - 12000 Ltr",MIGRATION
71,"LNM01 "," Lawn Mower",MIGRATION
72,"LNM02 "," Lawn Mower - Pushed",MIGRATION
73,"LSV02 "," Stabilization Vehicle Mounted 16m3",MIGRATION
74,"LTF01 "," Flat Truck : 1 to 5 ton",MIGRATION
75,"LTF02 "," Flat Truck : 5 to 12 ton",MIGRATION
76,"LTF03 "," Flat Truck : 12 to 20 ton",MIGRATION
77,"LTP01 "," Tip Truck 6 m3",MIGRATION
78,"LTP02 "," Tip Truck 10 m3",MIGRATION
79,"LTP03 "," Tip Truck 20 m3",MIGRATION
80,"LTP05 "," Mining Dump Truck 20 m3",MIGRATION
81,"LVS01 "," Service Truck < 5,0 ton",MIGRATION
82,"MGR01 "," Motor Grader ( 17t , 200hp ) eg. 140K",MIGRATION
