site_id,site_name,latitude,longitude,is_active,site_notes,site_image,company_id,has_workshop,created_by,last_modified_by,last_modified_date
1,Harare Workshop,-17.841496,31.118949,Y,NULL,NULL,1,1,MIGRATION,,
2,Bulawayo Workshop,-20.187164,28.564364,Y,NULL,NULL,1,1,MIGRATION,,
3,MOBE,-21.808127,30.428274,Y,NULL,NULL,1,1,MIGRATION,,
4,Beitbridge Urban,-22.202934,29.99082922,Y,NULL,NULL,1,0,MIGRATION,,
5,Makuti,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
6,Kwe Kwe,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
7,Stone Hill,-20.521912,28.106141,Y,NULL,NULL,1,0,MIGRATION,,
8,Hwange,-18.343453,26.52646,Y,NULL,NULL,1,1,MIGRATION,,
9,Sandawana,-20.923597,29.934755,Y,NULL,NULL,1,0,MIGRATION,,
10,Machesu,-17.844863,27.595685,Y,NULL,NULL,1,0,MIGRATION,,
11,Blanket Mine,-20.85951211,28.91161981,Y,NULL,NULL,1,1,MIGRATION,,
12,(AMC) Asset Management Centre,-20.50788,28.082616,Y,NULL,NULL,1,0,MIGRATION,,
13,Finance Offices - Pevensey Road,-17.791784,31.099909,Y,NULL,NULL,1,0,MIGRATION,,
14,Makhado,-21.458956,29.733102,Y,NULL,NULL,1,1,MIGRATION,,
15,Insuza,-19.502654,28.334062,Y,NULL,NULL,1,0,MIGRATION,,
16,Gwaai River Farms,-18.611803,27.189152,Y,NULL,NULL,1,0,MIGRATION,,
17,Harare Head Office,-17.841496,31.118949,Y,NULL,NULL,1,0,MIGRATION,,
18,Pomona,NULL,NULL,Y,NULL,NULL,1,1,MIGRATION,,
19,Chirundu,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
20,Karo Mine,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
21,Luna Road Harare,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
22,Cyber City,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
23,Chispite Astro Turf,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
24,Mount Hampden (New Parliament),NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
25,Manyame Airbase,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
26,Buffalo Range,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
27,Cyclone Idai Restoration,NULL,NULL,N,NULL,NULL,1,0,MIGRATION,,
28,Beitbridge Road Exodus,NULL,NULL,N,NULL,NULL,1,0,MIGRATION,,
29,Crusher Plant - Beitbridge,NULL,NULL,N,NULL,NULL,1,0,MIGRATION,,
30,DAP,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
31,Chimanimani Skyline - Mubaira,NULL,NULL,N,NULL,NULL,1,0,MIGRATION,,
32,Harare - Bindura A/C Overlay,NULL,NULL,N,NULL,NULL,1,0,MIGRATION,,
33,Chimanimani Cyclone Idai Restoration,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
34,Mberengwa,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
35,Tsomboli,NULL,NULL,Y,NULL,NULL,1,1,MIGRATION,,
36,Lutumba,NULL,NULL,Y,NULL,NULL,1,1,MIGRATION,,
37,Glenlussa,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
38,Harare Asphalt Plant,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
39,Fura Mine Site - Mozambique,NULL,NULL,Y,NULL,NULL,7,0,MIGRATION,,
40,Harare Drive Dualisation,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
41,Harare Chirundu Early Works,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
42,Rushinga,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
43,Mboe River Chokoza,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
44,MMP Manica,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
45,High Glen,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
46,Kwadzana,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
47,Old Mazowe Road,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
48,Harare South Logistics,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
49,Latter Day Saints,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
50,Metcalf and Stewart Roads Overlay,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
51,Prospect One Development ,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
53,R Davis General Expenses - Freda,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
54,Falcon College,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
55,Cut Rag Asphalt Site,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
56,Tantallon Housing,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
57,Chivi Site,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
58,Gecko Gardens,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
59,NSCL JICA Section,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
60,National Foods - Aspindale,NULL,NULL,Y,NULL,NULL,1,0,MIGRATION,,
61,R/D Head Office Harare,NULL,NULL,Y,NULL,NULL,2,0,MIGRATION,,
62,Freda Rebecca - Bindura,NULL,NULL,Y,NULL,NULL,2,0,MIGRATION,,
63,Blanket Mine - Gwanda,NULL,NULL,Y,NULL,NULL,2,0,MIGRATION,,
64,LDS,NULL,NULL,Y,NULL,NULL,2,0,MIGRATION,,
65,Prospect Development Civil Infrastructure,NULL,NULL,Y,NULL,NULL,2,0,MIGRATION,,
