smr_reading_id;asset_plant_id;fuel_transaction_header_id;plant_hours_id;whatsapp_number;smr_reading;unit;created_by;created_date
1;3;1;;;10000;KILOMETER_BASED;SYSTEM;2025-04-05 00:00:00
2;3;2;;;10400;KILOMETER_BASED;SYSTEM;2025-04-06 00:00:00
3;3;3;;;10600;KILOMETER_BASED;SYSTEM;2025-04-06 00:00:00
4;3;4;;;11200;KILOMETER_BASED;SYSTEM;2025-04-07 00:00:00
5;3;5;;;11600;KILOMETER_BASED;SYSTEM;2025-04-08 00:00:00
6;3;6;;;12000;KILOMETER_BASED;SYSTEM;2025-04-09 00:00:00
7;3;7;;;12400;KILOMETER_BASED;SYSTEM;2025-04-10 00:00:00
8;3;8;;;12600;KILOMETER_BASED;SYSTEM;2025-04-11 00:00:00
9;3;9;;;13500;KILOMETER_BASED;SYSTEM;2025-04-12 00:00:00
10;3;10;;;13900;KILOMETER_BASED;SYSTEM;2025-04-13 00:00:00
11;3;11;;;14300;KILOMETER_BASED;SYSTEM;2025-04-14 00:00:00
12;3;11;;;14700;KILOMETER_BASED;SYSTEM;2025-04-15 00:00:00
