storage_id;storage_code;build_smart_code;company_id;name;site_id;is_fixed;capacity;access_key;storage_content;is_active;created_by
1;T1;FT0002;1;FT0002 - Petrol Msasa (T1);17;TRUE;10000;AAA;PETROL;TRUE;SYSTEM
2;T2;FT0001;1;FT0001 - Diesel Msasa (T2);17;TRUE;20000;AAA;DIESEL;TRUE;SYSTEM
3;FB04;FB0004;1;FB0004 - Fuel Bowser FB04;3;FALSE;1000;AAA;DIESEL;TRUE;SYSTEM
4;FB05;FB0005;1;null;7;FALSE;1000;AAA;DIESEL;TRUE;SYSTEM
5;TR31;341TR31;0;TR31;17;TRUE;42000;AAA;DIESEL, PETROL;TRUE;SYSTEM
6;TR32;341TR32;0;TR32;17;TRUE;42000;AAA;DIESEL, PETROL;TRUE;SYSTEM
7;LB03;FB0007;1;null;3;FALSE;8000;AAA;DIESEL;TRUE;SYSTEM
8;LB05;FB0009;1;FB0009 - Fuel Bowser LB05;24;FALSE;10000;AAA;DIESEL;TRUE;SYSTEM
9;LB04;FB0008;1;FB0008 - Fuel Bowser LB04;24;FALSE;10000;AAA;DIESEL;TRUE;SYSTEM
10;FB01;FB0001;1;FB0001 - Fuel Bowser FB01;3;FALSE;1000;AAA;DIESEL;TRUE;SYSTEM
11;FB02;FB0002;1;null;17;FALSE;1000;AAA;DIESEL, PETROL;TRUE;SYSTEM
12;FB03;FB0003;1;FB0003 - Fuel Bowser FB03;7;FALSE;1000;AAA;DIESEL;TRUE;SYSTEM
13;FB06;FB0006;1;null;5;FALSE;1000;AAA;DIESEL, PETROL;TRUE;SYSTEM
14;NRB1;FT0008;0;FT0008 - Diesel Mobe NRB1;3;TRUE;25000;AAA;DIESEL;TRUE;SYSTEM
15;LUNARD;FT0007;1;FT0007 - Diesel Luna;21;TRUE;2000;AAA;DIESEL;TRUE;SYSTEM
17;3YFT;3YFT;1;3YFT;17;TRUE;40000;AAA;DIESEL, PETROL;FALSE;SYSTEM
18;3ENR;3ENR;0;3ENR;17;TRUE;100000;AAA;DIESEL,PETROL;TRUE;SYSTEM
19;3GFS;3GFS;0;3GFS;17;TRUE;100000;AAA;DIESEL, PETROL;TRUE;SYSTEM
20;AP14;FT0012;1;FT0012 - Diesel Asphalt Plant AP14;3;TRUE;20000;AAA;DIESEL;TRUE;SYSTEM
21;401;FT0015;1;FT0015 - Diesel HAP 401;36;TRUE;20000;AAA;DIESEL;TRUE;SYSTEM
22;3ESS;3ESS;1;3ESS;17;TRUE;100000;AAA;DIESEL, PETROL;FALSE;SYSTEM
23;NRB2;FT0009;1;null;36;TRUE;25000;AAA;DIESEL;TRUE;SYSTEM
24;LW04;FB0012;1;FB0012 - Fuel Bowser LW04;34;FALSE;14000;AAA;DIESEL;TRUE;SYSTEM
25;MOBEP;MOBEP;1;MOBE Petrol Stores;3;TRUE;2000;AAA;PETROL;FALSE;SYSTEM
27;CHIMSP;CHIMSP;1;Chimanimani Petrol;33;TRUE;2000;AAA;PETROL;FALSE;SYSTEM
29;LUNARP;FT0007;1;FT0007 - Petrol Luna;21;TRUE;2000;AAA;PETROL;TRUE;SYSTEM
30;MISC;MISC;1;MISCELLANEOUS;17;TRUE;1000;AAA;DIESEL, PETROL;TRUE;SYSTEM
31;3JKM;3JKM;0;3JKM;17;TRUE;100000;AAA;DIESEL, PETROL;TRUE;SYSTEM
32;TEST2;null;1;TEST STORE 2;17;TRUE;10000;AAA;DIESEL, PETROL;FALSE;SYSTEM
33;MT1;FT0003;1;FT0003 - Diesel MOBE MT1;3;TRUE;50000;AAA;DIESEL;TRUE;SYSTEM
34;MT2;FT0004;1;FT0004 - Diesel Parliament MT2;24;TRUE;50000;AAA;DIESEL;TRUE;SYSTEM
35;3WMS;3WMS;1;Wildlife Management;17;TRUE;25000;AAA;DIESEL, PETROL;FALSE;SYSTEM
36;TREK60514;30200514;1;TREK Card 60514;NULL;TRUE;10000;AAA;DIESEL, PETROL;TRUE;SYSTEM
37;PTR;null;1;Petrotrade;17;TRUE;100000;AAA;DIESEL, PETROL;FALSE;SYSTEM
38;3CCS ;3CCS ;0;3CCS ;17;TRUE;100000;AAA;DIESEL, PETROL;TRUE;SYSTEM
39;AP22;FT0013;1;FT0013 - Diesel Asphalt Plant AP22;16;TRUE;20000;AAA;DIESEL;TRUE;SYSTEM
40;AP23;FT0014;1;FT0014 - Diesel Asphalt Plant AP23;37;TRUE;20000;AAA;DIESEL;TRUE;SYSTEM
41;LB06;FB0010;1;FB0010 - Fuel Bowser LB06;24;FALSE;10000;AAA;DIESEL;TRUE;SYSTEM
42;LB07;FB0011;1;FB0011 - Fuel Bowser LB07;24;FALSE;10000;AAA;DIESEL;TRUE;SYSTEM
43;MT3;FT0005;1;FT0005 - Diesel Tsomboli MT3;35;TRUE;50000;AAA;DIESEL;TRUE;SYSTEM
44;MT4;FT0006;1;FT0006 - Diesel Parliament MT4;24;TRUE;50000;AAA;DIESEL;TRUE;SYSTEM
45;SHT1;FT0010;1;FT0010 - Diesel Stonehill SHT1;7;TRUE;8000;AAA;DIESEL;TRUE;SYSTEM
46;SHT2;FT0011;1;FT0011 - Diesel Stonehill SHT2;7;TRUE;8000;AAA;DIESEL;TRUE;SYSTEM
47;FC0003 ;FC0003;1;FC0003 - Total 65812;NULL;TRUE;10000;AAA;DIESEL, PETROL;TRUE;SYSTEM
48;FC0001;FC0001;1;FC0001 - Energy Park 472593842521;17;TRUE;10000;AAA;DIESEL, PETROL;TRUE;SYSTEM
49;FC0002;FC0001;1;FC0002 - Trek 60514;17;TRUE;10000;AAA;DIESEL, PETROL;TRUE;SYSTEM
50;FC0003;FC0001;0;Total;17;TRUE;10000;AAA;DIESEL, PETROL;TRUE;SYSTEM
51;FURA;null;7;Fura Supply Store;NULL;TRUE;100000;AAA;DIESEL;TRUE;SYSTEM
52;TDB05;NULL;7;TDB05 Tayanna Bowser;NULL;FALSE;8000;AAA;DIESEL;TRUE;SYSTEM
54;TDT01;NULL;7;TDT01 Mobile Pump;NULL;FALSE;2000;AAA;DIESEL;TRUE;SYSTEM
55;TXHDT03;NULL;7;TXHDT03 Hired Trailer;NULL;FALSE;NULL;AAA;DIESEL;TRUE;SYSTEM
56;TXHDB03;NULL;7;TXHDB03 Hired Trailer;NULL;FALSE;NULL;AAA;DIESEL;TRUE;SYSTEM
57;TDB03;NULL;7;TBD03 0Manica Diesel Bowser;NULL;FALSE;12000;AAA;DIESEL;TRUE;SYSTEM
58;TDT02;NULL;7;TDT02 Mobile Trailer;24;TRUE;2000;AAA;DIESEL;TRUE;SYSTEM
59;LB08;FB0013;1;FB0013 - Fuel Bowser LB08;24;FALSE;10000;AAA;DIESEL;TRUE;SYSTEM
60;TDB06;TDB06;7;TDB06 Fura Fuel Bowser;24;FALSE;14000;AAA;DIESEL;TRUE;SYSTEM
62;FC0011;FC0011;1;Lundi (Rhino) Service Station;NULL;TRUE;NULL;AAA;DIESEL;TRUE;SYSTEM
63;TEST01;TEST01;1;TEST STORE 1;17;TRUE;1000;AAA;DIESEL;TRUE;SYSTEM
64;TEST03;TEST03;1;TEST STORE 3;17;TRUE;1000;AAA;DIESEL;TRUE;SYSTEM
65;TDB07;NULL;7;TDB07 Diesel Bowser;NULL;FALSE;NULL;AAA;DIESEL;TRUE;SYSTEM
66;FREDA;NULL;2;Freda Rebecca - Fuel Stores;62;TRUE;100000;AAA;PETROL;TRUE;SYSTEM
