third_party_id,third_party_name,third_party_short_name,is_active,uses_fuel_system,created_by
1,R DAVIS,RD,TRUE,TRUE,MIGRATION
2,BITUMEN WORLD,BW,TRUE,TRUE,MIGRATION
3,TAYANNA,TY,TRUE,TRUE,MIGRATION
4,PROSTRUCT CONSULTING ENGINEERS,PCE,TRUE,FALSE,MIGRATION
5,VEHICLE INSPECTION DEPARTMENT,VID,TRUE,FALSE,MIGRATION
6,FRONTIER,FRNT,TRUE,FALSE,MIGRATION
7,KW ENTERPRISES,KW ENT,TRUE,FALSE,MIGRATION
8,KW BLASTING,KW BLST,TRUE,FALSE,MIGRATION
9,STRAIGHT FREIGHT LOGISTICS,SFL,TRUE,FALSE,MIGRATION
10,STAFF,STF,TRUE,FALSE,MIGRATION
